train,train_predict,test,test_predict
183.5,[181.42763],170.4,[167.77736]
162.6,[160.2095],186.2,[181.46979]
187.6,[180.03345],168.3,[164.24251]
170.8,[166.38452],182.0,[183.88062]
167.6,[159.5912],204.7,[214.36082]
167.6,[162.43855],158.0,[153.5317]
215.0,[213.40045],158.5,[160.51308]
172.4,[169.62827],172.0,[177.27385]
161.9,[168.12569],162.3,[150.21254]
187.3,[187.87857],155.0,[152.59508]
191.7,[193.43332],193.8,[204.4733]
174.8,[173.68817],216.3,[212.20511]
151.7,[149.8322],165.2,[169.70265]
215.4,[210.80153],227.0,[216.33397]
164.1,[172.66959],147.0,[160.44006]
174.6,[178.4055],193.0,[190.93947]
186.9,[180.94722],171.4,[164.95195]
212.0,[196.88443],164.7,[163.52861]
209.7,[206.11633],179.9,[178.42282]
165.8,[167.65886],172.2,[172.67284]
206.0,[209.63115],206.2,[203.22691]
188.3,[189.95476],128.1,[102.42923]
192.8,[187.97101],163.1,[163.99019]
173.8,[177.40224],183.9,[178.10632]
168.8,[162.90591],154.1,[162.01163]
199.9,[209.55954],204.6,[201.32764]
205.3,[207.86996],205.0,[180.62097]
155.0,[156.32283],167.1,[165.75708]
189.5,[182.79791],156.9,[156.64258]
167.5,[166.84262],158.7,[153.507]
198.32,[171.66075],175.4,[177.2993]
194.3,[195.23804],156.1,[162.17986]
214.5,[217.31798],167.2,[168.08289]
169.3,[161.58635],156.1,[165.46855]
175.0,[179.39879],249.38,[218.1141]
175.9,[168.12187],172.0,[178.80301]
220.8,[220.68892],172.4,[172.56494]
177.9,[181.64374],168.8,[162.6617]
210.4,[213.02856],169.3,[169.06801]
159.5,[157.61398],213.5,[209.80264]
164.3,[170.20222],191.4,[183.45721]
181.1,[180.49571],204.0,[206.53493]
181.6,[188.36919],183.2,[181.87692]
175.8,[181.78574],161.6,[163.73608]
155.2,[151.59079],185.8,[184.7091]
206.9,[207.21631],179.0,[170.758]
184.2,[179.20804],148.6,[110.90658]
238.9,[222.03569],197.0,[195.57785]
200.5,[202.67776],174.0,[163.2203]
187.1,[193.93771],194.2,[197.7516]
185.3,[186.77121],153.6,[158.64879]
202.4,[212.91808],183.1,[189.90373]
163.9,[170.49152],169.7,[166.58926]
175.3,[177.82848],166.1,[169.35513]
162.3,[161.85277],198.3,[194.08768]
161.2,[168.42703],158.9,[161.7157]
159.4,[162.39468],184.3,[182.78848]
195.2,[181.84836],208.8,[204.87183]
213.7,[212.72575],168.8,[160.41458]
182.4,[180.40593],190.0,[194.80296]
158.1,[170.44582],161.2,[166.14041]
200.1,[195.98515],183.0,[185.35013]
148.0,[151.75728],181.4,[173.62717]
169.4,[168.03737],160.2,[166.62479]
181.7,[185.79051],181.1,[185.91812]
187.0,[176.89218],187.6,[185.74236]
205.1,[206.00996],177.2,[178.7908]
163.6,[165.164],188.2,[186.0335]
185.3,[191.71016],170.9,[173.3659]
183.7,[184.9657],168.9,[166.51811]
186.2,[188.17506],166.1,[157.48146]
159.2,[150.51932],171.9,[169.09677]
184.6,[173.61092],203.1,[203.59871]
169.9,[171.32994],160.9,[160.79541]
181.5,[182.43488],198.6,[195.47362]
175.7,[178.09709],177.5,[176.80826]
187.1,[190.04507],171.0,[175.1696]
200.0,[187.64967],171.3,[164.30655]
199.9,[195.70784],180.4,[185.18039]
197.6,[190.22517],175.4,[174.80946]
161.8,[164.798],185.0,[189.12163]
157.8,[166.17427],156.5,[155.2204]
158.7,[158.05211],222.8,[215.93564]
149.0,[162.28949],205.1,[204.28876]
166.4,[172.31001],238.0,[225.40883]
155.5,[150.52788],165.6,[168.36469]
152.4,[160.20647],159.4,[161.51405]
181.1,[177.8725],194.0,[194.87323]
165.7,[163.79395],186.6,[188.55136]
159.0,[159.44518],190.7,[188.30215]
182.4,[186.0768],194.6,[193.4196]
196.1,[193.32794],192.3,[188.36322]
169.6,[172.47546],168.6,[167.27611]
171.4,[179.58029],155.0,[154.14046]
170.6,[166.79117],181.8,[185.3541]
153.5,[157.32942],177.5,[180.8613]
185.6,[184.29005],177.4,[173.36713]
163.7,[169.45233],154.8,[161.97488]
177.1,[179.32108],181.0,[179.5449]
179.6,[173.77637],207.8,[205.0919]
199.6,[199.12845],177.4,[178.14702]
154.8,[154.09084],183.1,[179.62326]
